Function,#cycles,n,floats/cycle
mmm, 35857.4985,   32, 1.8277
scalar_mm, 1395.7132,   32, 0.7337
onenorm, 2667.8873,   32, 0.7676
normest, 19966.4921,   32, 0.6973
eval3_4, 96192.0486,   32, 1.5862
eval3_5, 144186.3978,   32, 1.5837
eval3_6, 203369.8002,   32, 0.8056
mmm, 157196.5524,   64, 3.3352
scalar_mm, 6102.8017,   64, 0.6712
onenorm, 11513.0896,   64, 0.7115
normest, 61197.4341,   64, 0.8587
eval3_4, 459024.3896,   64, 2.4717
eval3_5, 660459.0364,   64, 2.5737
eval3_6, 1586149.5848,   64, 0.8264
mmm, 1203355.9276,  128, 3.4855
scalar_mm, 23835.4069,  128, 0.6874
onenorm, 58445.6953,  128, 0.5607
normest, 293908.7118,  128, 0.6920
eval3_4, 3366678.7128,  128, 2.5939
eval3_5, 4652549.8732,  128, 2.8137
eval3_6, 19024329.2956,  128, 0.5512
mmm, 9401391.4908,  256, 3.5691
scalar_mm, 107043.0473,  256, 0.6122
onenorm, 396887.0210,  256, 0.3303
normest, 1630417.5508,  256, 0.4907
eval3_4, 22737896.3312,  256, 3.0119
eval3_5, 32351981.4272,  256, 3.1743
eval3_6, 215362772.2896,  256, 0.3895
mmm, 71537020.8308,  512, 3.7524
scalar_mm, 426982.4456,  512, 0.6139
onenorm, 1522456.2736,  512, 0.3444
normest, 5882080.2328,  512, 0.5394
eval3_4, 159277606.7948,  512, 3.4052
eval3_5, 234651577.1616,  512, 3.4666
eval3_6, 2151482174.7764,  512, 0.3119
mmm, 241857736.2144,  768, 3.7459
scalar_mm, 1049597.7752,  768, 0.5620
onenorm, 3115452.5992,  768, 0.3786
normest, 13294049.9884,  768, 0.5355
eval3_4, 523107493.1536,  768, 3.4875
eval3_5, 773221183.8412,  768, 3.5387
eval3_6, 6054654806.7720,  768, 0.3741
