Function,#cycles,n,floats/cycle
mmm, 35874.9735,   32, 1.8268
normest, 17270.3578,   32, 0.8061
eval3_4, 42526.6734,   32, 1.9745
eval3_5, 116601.4351,   32, 1.9145
eval3_6, 97088.3924,   32, 1.6875
mmm, 158211.1297,   64, 3.3139
normest, 49838.9313,   64, 1.0544
eval3_4, 228696.0602,   64, 2.6149
eval3_5, 585472.3580,   64, 2.8684
eval3_6, 611503.1612,   64, 2.1434
mmm, 1205601.5700,  128, 3.4790
normest, 179593.2871,  128, 1.1325
eval3_4, 1719181.3184,  128, 2.6113
eval3_5, 4299646.2024,  128, 3.0256
eval3_6, 5309663.6644,  128, 1.9748
mmm, 9375688.4700,  256, 3.5789
normest, 706720.3652,  256, 1.1320
eval3_4, 11600076.6556,  256, 2.9943
eval3_5, 31025919.2448,  256, 3.2994
eval3_6, 50891342.4880,  256, 1.6483
mmm, 71584908.5492,  512, 3.7499
normest, 3124738.9516,  512, 1.0154
eval3_4, 81461819.6924,  512, 3.3532
eval3_5, 228260296.3948,  512, 3.5579
eval3_6, 403562734.0436,  512, 1.6629
mmm, 241671974.1112,  768, 3.7488
normest, 6699742.9420,  768, 1.0625
eval3_4, 267110651.8092,  768, 3.4315
eval3_5, 758028473.2756,  768, 3.6057
eval3_6, 1312440509.6312,  768, 1.7257
